Sr,Name,Total Volume (cft),Branch
176,MTD/JS50/2021,3,Lingmethang Unit
177,MTD/JS43/2021,20.92,Lingmethang Unit
178,MTD/JS07/2021,30.13,Lingmethang Unit
179,KD/77/2019(A),4.52,Khotokha Unit
180,KD/85/2020,694.23,Khotokha Unit
181,KD/63/2020(A),1128.5,Khotokha Unit
182,KD/63/2020(B),64.47,Khotokha Unit
183,MTD/S-42/2022-1,18.42,Lingmethang Unit
184,MTD/S-42/2022,18.42,Lingmethang Unit
185,SD/83/2020,353.91,Wangdue
186,SD/81/2020,199.25,Wangdue
187,KD/87/2021,1013.06,Khotokha Unit
188,KD/92/2020,681.37,Khotokha Unit
189,TD/69/2019(C)-1,530.22,Changkhaphu Unit
190,TD/69/2019(C),530.22,Changkhaphu Unit
191,O/58/2021(A),75.6,Changkhaphu Unit
192,KD/82/2020,848.36,Khotokha Unit
193,KD/89/2020(B),310.02,Khotokha Unit
194,KD/89/2020,553.1,Khotokha Unit
195,SJD/05/2021,71.85,SamdrupJongkhar Unit
196,WSC/MC/22/12,197.79,Ramtokto
197,KKFMU/205/2021,798.8,Khaling Kharungla Unit
198,RFMU/01/2022,186.92,Rongmanchu Unit
199,UK/209/2021,1378.57,Karshong Unit
200,UK/208/2021,1319.48,Karshong Unit
201,UK/206/2021,1923.96,Karshong Unit
202,MTD/187/2021,437.77,Lingmethang Unit
203,KD/47/2020-4,514.09,Khotokha Unit
204,KD/47/2020-3,514.09,Khotokha Unit
205,KD/47/2020-2,514.09,Khotokha Unit
206,KD/99/2020(B)-2,143.34,Khotokha Unit
207,KD/99/2020(B)-1,143.34,Khotokha Unit
208,KD/104/2019(A)-3,1484.49,Khotokha Unit
209,TAP/26/2021-1,278.41,Tsirang Unit
210,LZ/28/2019 (Logs and Poles),41.34,Lhamozingkha Unit
211,D/29/2021,554.38,Gidakom Unit
212,UK/210/2021,1295.5,Karshong Unit
213,SR/102/2021,19.14,Samtse Unit
214,SR/97/2021,113.36,Samtse Unit
215,SR/133/2021,344.61,Samtse Unit
216,D/169/2020(A),66.86,Gidakom Unit
217,SCD/39/2021,543.33,SamdrupJongkhar Unit
218,KD/85/2021,1220.59,Khotokha Unit
219,TAP/26/2021,278.41,Tsirang Unit
220,WSC/MHW/21/929,204.93,Ramtokto
221,WSC/MC/21/936,2.75,Ramtokto
222,NTD/S15,166.12,Nganglam Unit
223,NTD/S8/2021,24.86,Nganglam Unit
224,NTD/S9/2021,60.31,Nganglam Unit
225,Ad-hoc/DFMU/2021,138.59,Dongdeychu Unit
226,Ad-hoc/20/2021,138,Dongdeychu Unit
227,Ad-hoc/DFMU/20,138.59,Dongdeychu Unit
228,WSC/CYP/21/297,19.71,Ramtokto
229,GPD/93/2020,453.94,Gogona Unit
230,GPD/148/2020-2,206.33,Gogona Unit
231,GPD/148/2020-1,206.33,Gogona Unit
232,GPD/148/2020,199.62,Gogona Unit
233,KEA/01/2021,7.29,Zhemgang Unit
234,GAP/31/2021-1,17.42,Gasa Unit
235,GAP/31/2021,17.42,Gasa Unit
236,KD/90/2021,1126.21,Khotokha Unit
237,SCD/37/2021,97.82,SamdrupJongkhar Unit
238,SCD/36/2021,106.51,SamdrupJongkhar Unit
239,Cd/34/2020,987.68,Dawathang Unit
240,Cd/29/2020,1213.75,Dawathang Unit
241,Cd/32/2020,1237.62,Dawathang Unit
242,WSC/BP/21/837,8.53,Ramtokto
243,TAP/25/2021,270.53,Tsirang Unit
244,O/63/19,829.46,Changkhaphu Unit
245,WSC/MC/21/832,0,Ramtokto
246,MTD/S345/2021,0,Lingmethang Unit
247,KFMU/38/2021,0,Korilla Unit
248,WSC/MC/21/814,48.69,Ramtokto
249,WSC/MC/21/-1,33.77,Ramtokto
250,WSC/MC/21/,33.77,Ramtokto
251,PDA/10/2021,661.9,Punakha Unit
252,MTD/144/2021,283.42,Lingmethang Unit
253,NTD/31/2019,203.31,Nganglam Unit
254,GPD/99/2020(A),515.84,Gogona Unit
255,KD/76/2021,446.86,Khotokha Unit
256,KD/11/2021(A)-1,223.23,Khotokha Unit
257,KD/48/2021,1288.35,Khotokha Unit
258,Ad-Yon/56/2019,758.88448,Khaling Kharungla Unit
259,Ad-Yon/53/19,1889.56763,Khaling Kharungla Unit
260,DFMU/19/2020,372.44,Dongdeychu Unit
261,GPD/24/2020,265.05,Gogona Unit
262,GPD/26/2020,510.9,Gogona Unit
263,GPD/108/2019 A,1733.28,Gogona Unit
264,DFMU/Ad-hoc/TG-04-1,15.18,Dongdeychu Unit
265,DFMU/Ad-hoc/TG-04,80.16,Dongdeychu Unit
266,UK/179/2021,130,Karshong Unit
267,WSC/Cypress/21/794,22.57,Ramtokto
268,GPD/28/2020,542.01,Gogona Unit
269,GPD/25/2020,542.36,Gogona Unit
270,MTD/326/2021,9.38,Lingmethang Unit
271,KD/56/2019(a)-2,713.36,Khotokha Unit
272,JTD/64/2020,890.94,Khotokha Unit
273,UK/177/2021,582.5,Karshong Unit
274,kkfmu/09/2021,694.66,Khaling Kharungla Unit
275,KKFMU/18(S2)/2021,16.67,Khaling Kharungla Unit
276,KKFMU/14(S1)/2022-1,33.33,Khaling Kharungla Unit
277,KKFMU/14(S1)/2022,13.33,Khaling Kharungla Unit
278,SR/104/2021,300,Samtse Unit
279,SR/44/2020,199.61,Samtse Unit
280,MTD/JS37/2021,4.38,Lingmethang Unit
281,MTD/JS33/2021-1,3.21,Lingmethang Unit
282,MTD/JS33/2021,5.08,Lingmethang Unit
