Sr,Name,Material Code,Material Name,Material Group,Marerial New Group,Has Serial No,Customer Code
239,103747,103747,PVC Box,Consumable,Electrical (Stores & Spares),0,
240,103746,103746,LED Bulb,Consumable,Electrical (Stores & Spares),0,
241,103745,103745,S.S Combined,Consumable,Tools and Tackle,0,
242,102826,102826,Steering Rack Assy (LH & RH) for DC Turbo,Consumable,Motor Vehicle Stores & Spares (GAD),0,
243,103744,103744,Wooden Screw,Consumable,Tools and Tackle,0,
244,103743,103743,T Bolt,Consumable,Building & Civil Stores & Spares,0,
245,103742,103742,Aluminium Lug ,Consumable,Electrical (Stores & Spares),0,
246,103538,103538,Cartridge for P1108/M202 DW/88A- make FOXIN,Consumable,Office Printing & Stationery Stores & Spares,0,
247,103741,103741,QL-40 Valve (2652133535),Consumable,Plant & Machinery Stores & Spares (ICM),0,
248,103740,103740,Security Plastic Seal with Metal Insert,Consumable,QC Stores & Spares,0,
249,103739,103739,Bearing 6314 ,Consumable,Plant & Machinery Stores & Spares (Crusher),0,
250,103738,103738,LED Panel Indicator,Consumable,Electrical (Stores & Spares),0,
251,103737,103737,HT Bolt & Nut with 2 nos. washer,Consumable,Plant & Machinery Stores & Spares (Crusher),0,
252,103736,103736,Sheathed copper cable 2 core x 6 sqmm,Consumable,Electrical (Stores & Spares),0,
253,103735,103735,Sheathed copper cable 2 core x 2.5 sqmm,Consumable,Electrical (Stores & Spares),0,
254,103734,103734,Steel wire armored cable 3 core x 2.5 sqmm,Consumable,Electrical (Stores & Spares),0,
255,103733,103733,Steel wire armored cable 3 core x 6 sqmm,Consumable,Electrical (Stores & Spares),0,
256,103732,103732,LB link PoE Switch 8 Port,Consumable,Data Processig Stores & Spares,0,
257,102298,102298,BTC Wire,Consumable,Electrical (Stores & Spares),0,
258,103731,103731,Push Rod 2646156,Consumable,Plant & Machinery Stores & Spares (Crusher),0,
259,103730,103730,3 Pin Socket,Consumable,Electrical (Stores & Spares),0,
260,103729,103729,Socket with Switch Combined,Consumable,Tools and Tackle,0,
261,103728,103728,F/T Switch,Consumable,Electrical (Stores & Spares),0,
262,103727,103727,Tube frame,Consumable,Electrical (Stores & Spares),0,
263,103726,103726,Lighter,Consumable,Other Miscelleanous Stores & Spares,0,
264,103725,103725,Whistle,Consumable,OHS Stores & Spares,0,
265,103724,103724,Red Cloth,Consumable,Other Miscelleanous Stores & Spares,0,
266,103723,103723,Fine Jute Cotton,Consumable,Other Miscelleanous Stores & Spares,0,
267,103722,103722,Verified Seal,Consumable,Office Printing & Stationery Stores & Spares,0,
268,103721,103721,Tarfelt,Consumable,Building & Civil Stores & Spares,0,
269,103720,103720,Brass Ball Valve ,Consumable,Building & Civil Stores & Spares,0,
270,103719,103719,Diesel Tank Cap (TELCO)  - TATA Prima,Consumable,Motor Vehicle Stores & Spares (GAD),0,
