Column Labels:,ID,Stock Entry Title,Stock Entry Purpose,Stock Entry Series,Company,Posting Date,Posting Time,Source Warehouse,Receiving Warehouse,Equipment,Vehicle No,Transporter Name,Vehicle dispatch date,Unloading By,Equipment Model,Tyre Weight,Gross Vehicle Weight,Weight Slip No,POL Slip No,,Material Code,Qty,UOM,Stock UOM,Difference Account,Cost Center,Material Name,Basic Rate (as per Stock UOM),Basic Amount,Amount,Valuation Rate,Received Qty,Difference Qty,Basic Rate(D),Basic Amount(D),Remarks
Column Name:,name,title,purpose,naming_series,company,posting_date,posting_time,from_warehouse,to_warehouse,equipment,equipment_number,transporter_name,vehicle_dispatch_date_and_time,unloading_by,equipment_model,tyre_weight,gross_vehicle_weight,weight_slip_no,pol_slip_no,~,item_code,qty,uom,stock_uom,expense_account,cost_center,item_name,basic_rate,basic_amount,amount,valuation_rate,received_qty,difference_qty,basic_rate1,basic_amount1,remarks
Mandatory:,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Type:,Data (text),Data,Select,Select,Link,Date,Time,Link,Link,Link,Read Only,Data,Data,Select,Read Only,Float,Data,Data,Data,,Link,Float,Link,Link,Link,Link,Data,Currency,Currency,Currency,Currency,Float,Float,Currency,Currency,Text
Info:,,,"One of: Material Issue, Material Receipt, Material Transfer","One of: Consumable GR, Capital Inventory GR, Coal GR, Dolomite GR, Gypsum GR, Stone GR, Limestone GR, Bauxite GR, Quartzite GR, Talc GR, 0-5 mm Dust GR, 10-20 mm Aggregates GR, 40 mm Aggregates GR",Valid Company,,,Valid Warehouse,Valid Warehouse,Valid Equipment,,,,"One of: Transporter, Company",,,,,,,Valid Item,,Valid UOM,Valid UOM,Valid Account,Valid Cost Center,,,,,,,,,,
Start entering data below this line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190008,BP-2A-5399,,,Transporter,,6.78,22.4,416,359,,300017,15.14,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",18445.6676,18445.6676,"1,218.34",15.62,0.48,"1,218.34",584.8032,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190111,BP-2A-3157,,,Transporter,,6.79,22.33,407,346,,300017,15.34,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",18689.3356,18689.3356,"1,218.34",15.54,0.2,"1,218.34",243.668,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190060,BP-2A-5688,,,Company,,7.15,23.21,382,357,,300017,15.9,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",19371.606,19371.606,"1,218.34",16.06,0.16,"1,218.34",194.9344,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190042,BP-2A-9616,,,Transporter,,7.48,23.68,380,322,,300017,16.02,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",19517.8068,19517.8068,"1,218.34",16.2,0.18,"1,218.34",219.3012,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190004,BP-2B-0288,,,Transporter,,7.51,23.98,378,321,,300017,16.3,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",19858.942,19858.942,"1,218.34",16.47,0.17,"1,218.34",207.1178,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190071,BP-2A-5464,,,Company,,7.32,22.92,377,354,,300017,15.43,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",18798.9862,18798.9862,"1,218.34",15.6,0.17,"1,218.34",207.1178,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190100,BP-2A-7575,,,Transporter,,6.94,22.99,399,337,,300017,15.87,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",19335.0558,19335.0558,"1,218.34",16.05,0.18,"1,218.34",219.3012,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190044,BP-1A-3363,,,Transporter,,6.71,22.76,373,319,,300017,15.89,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",19359.4226,19359.4226,"1,218.34",16.05,0.16,"1,218.34",194.9344,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190027,BP-2A-9122,,,Company,,7,22.79,379,356,,300017,15.63,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",19042.6542,19042.6542,"1,218.34",15.79,0.16,"1,218.34",194.9344,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190030,BP-2A-6078,,,Company,,7.34,23.8,448,388,,300017,16.36,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",19932.0424,19932.0424,"1,218.34",16.46,0.1,"1,218.34",121.834,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190092,BP-2A-5520,,,Transporter,,6.65,22.22,386,325,,300017,15.43,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",18798.9862,18798.9862,"1,218.34",15.57,0.14,"1,218.34",170.5676,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190002,BP- 2A-7304,,,Transporter,,6.88,22.98,376,320,,300017,15.94,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",19420.3396,19420.3396,"1,218.34",16.1,0.16,"1,218.34",194.9344,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190031,BP-2A-9324,,,Company,,7.3,24.91,381,355,,300017,17.44,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",21247.8496,21247.8496,"1,218.34",17.61,0.17,"1,218.34",207.1178,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190250,BP-2B-0804,,,Transporter,,8.46,26.76,374,,,300017,18.13,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",22088.5042,22088.5042,"1,218.34",18.3,0.17,"1,218.34",207.1178,
